file,rhythmic_entropy,melodic_range,hnr,spectral_centroid,spectral_bandwidth,zero_crossing_rate,rms_energy
H193N.mp3,-7232.633498790237,2620.4658,-1.2064333,802.9666234528513,981.2915220546007,0.04814099147121535,0.11558068
H54N.mp3,-8353.175345041242,3129.8132,-18.434746,1102.8161240079062,1264.5963984322914,0.057565826003909026,0.14847098
H43N.mp3,-5802.2751909366925,4001.0005,36.827023,2803.3958839858374,2267.7885254024272,0.2176800845104833,0.045537796
H148N.mp3,-4691.566320018903,3997.8203,1.588255,2343.835023554713,1984.8583252483795,0.13417809112917556,0.22536522
H219N.mp3,-6365.246433739074,4001.4702,0.61628807,2311.083617339901,2108.2962061247285,0.14123474424751245,0.019784711
H120N.mp3,-3888.7185480410562,3963.8088,0.82219625,1810.2367986251097,1410.3833908896083,0.12324364505597014,0.13219836
H334N.mp3,0.0,3995.4934,-1.7379079,2128.695304493754,1994.0152798523484,0.11809673729566453,0.17647992
H208N.mp3,-4365.473702697977,3807.8464,3.4505131,1240.648075161693,1643.7655396288749,0.03716941242448472,0.21872047
H72N.mp3,-5266.050079619927,3991.9382,17.726686,1130.767430735773,1397.6625301776864,0.05443798029939588,0.13916463
H28N.mp3,-4099.260543371258,4000.518,-108.867,2528.9189132023816,2301.7463580991766,0.11725656039001421,0.24701813
H393N.mp3,-4811.45765255901,4000.4392,-26.748335,1577.3085335261112,1774.8163554612693,0.051929595882196165,0.2862169
H276N.mp3,-4145.4038645184755,3147.3298,38.78114,821.6540750699577,1244.3981661839462,0.01790850435323383,0.26375777
H395N.mp3,-4594.9137931958085,3971.63,0.33342254,2042.9373079635018,2195.5112844984874,0.08720418554548685,0.20005733
H317N.mp3,-7568.950262826645,3893.8704,4.977883,644.4105024931567,857.0448608251983,0.03394370224769012,0.070786975
H191N.mp3,-4791.235964782068,3996.1072,-8.064726,1699.3284556820959,2043.122249104389,0.053155678082800285,0.27021635
H32N.mp3,-4676.064451566148,3993.9495,0.062232453,1582.9737885780437,1492.5420596364356,0.07483022943319119,0.11879417
H23N.mp3,-5120.208294124637,3962.4048,9.1088705,2249.6484477970407,2364.6487006886587,0.08324692108653163,0.24310257
H241N.mp3,-7218.061682934681,3990.707,-3.8676598,1867.313544229384,1878.9208364461786,0.09245069296375266,0.218766
H170N.mp3,-5194.996191663648,3941.965,8.378315,1211.9932871826986,1606.3665945156908,0.042566880996801705,0.21008861
H462N.mp3,-5594.335476026684,3997.3523,8.1568165,1933.1349636860084,1576.1259409839356,0.1076287091329069,0.1692192
H225N.mp3,-5480.062742558525,3899.0332,10.117498,1296.3098226386794,1449.0279291228746,0.06243440998134328,0.13051663
H124N.mp3,-5618.441817685015,3990.5203,-31.20585,2139.0232598670045,1467.9616268863256,0.15971759506041222,0.16134356
H397N.mp3,-4938.756010215367,3078.4097,9.2921095,948.0952146701328,980.1307193988705,0.05581779995113717,0.16387455
H226N.mp3,-4300.763944975555,3908.5842,3.7263596,1050.1307201277898,1165.216175738025,0.051629755796908317,0.28615284
H290N.mp3,-5988.226096541207,2558.553,-83.20659,694.7067745662157,986.7513960103215,0.028621887770966595,0.14600122
